faculty_code,course_number
AE,101
AE,491
AFM,131
AFM,333
ANTH,*
APPLS,*
ARBUS,101
ARBUS,301
ARTS,122
ARTS,450
AVIA,100
BET,100
BET,300
BET,320
BET,340
BET,350
BET,400
BET,411
BET,420
BET,430
BET,450
BET,460
BET,470
BET,580
BLKST,101
BLKST,102
BLKST,103
BLKST,201
BLKST,202
BLKST,203
BLKST,210
BLKST,224
BLKST,230
BLKST,240
BLKST,244
BLKST,302
BLKST,304
BLKST,309
BLKST,317
BLKST,330
BLKST,410
BLKST,421
BME,381
BME,530
CDNST,*
CI,100
CI,200
CI,250
CI,300
CI,329
CIVE,491
CLAS,*
CMW,363
CMW,364
COGSCI,300
COMM,400
COMMST,101
COMMST,112
COMMST,201
COMMST,210
COMMST,224
COMMST,226
COMMST,228
COMMST,335
COMMST,339
COMMST,399
COMMST,401
COMMST,402
COMMST,420
COMMST,430
COMMST,431
COMMST,432
COMMST,434
COMMST,435
COMMST,471
COMMST,475
COMMST,479
CS,492
DUTCH,271
EASIA,*
ECON,*
ENBUS,102
ENBUS,112
ENBUS,203
ENBUS,211
ENBUS,302
ENBUS,309
ENBUS,310
ENBUS,315
ENBUS,405
ENBUS,408
ENBUS,411
ENGL,*
ENVE,391
ENVS,105
ENVS,195
ENVS,201
ENVS,205
ENVS,210
ENVS,220
ENVS,310
ENVS,350
ENVS,401
ERS,100
ERS,215
ERS,222
ERS,225
ERS,253
ERS,288
ERS,294
ERS,315
ERS,320
ERS,328
ERS,361
ERS,365
ERS,370
ERS,372
ERS,404
ERS,406
ERS,454
ERS,460
ERS,462
FINE,101
FINE,102
FINE,112
FINE,209
FINE,210
FINE,212
FINE,213
FINE,214
FINE,215
FINE,216
FINE,217
FINE,241
FINE,242
FINE,244
FINE,245
FINE,252
FINE,256
FINE,257
FINE,258
FINE,259
FINE,262
FINE,275
FINE,281
FINE,282
FINE,319
FINE,338
FINE,341
FINE,342
FINE,362
FINE,364
FINE,368
FINE,377
FR,276
FR,291
FR,292
FR,296
FR,297
FR,332
FR,343
FR,354
FR,363
FR,365
FR,367
FR,373
FR,375
FR,410
FR,471
FR,473
FR,484
FR,485
FR,487
GENE,22C
GENE,315
GENE,415
GEOE,391
GEOG,101
GEOG,202
GEOG,203
GEOG,207
GEOG,215
GEOG,219
GEOG,222
GEOG,225
GEOG,233
GEOG,302
GEOG,306
GEOG,307
GEOG,314
GEOG,323
GEOG,325
GEOG,336
GEOG,349
GEOG,361
GEOG,368
GEOG,411
GEOG,423
GEOG,432
GEOG,460
GEOG,462
GER,100
GER,120
