faculty_code,course_number
ANTH,251
ARABIC,*
ASL,*
BLKST,303
BLKST,308
BLKST,310
BLKST,380
BLKST,499
CHINA,*
COMMST,100
COMMST,102
COMMST,149
COMMST,191
COMMST,192
COMMST,220
COMMST,223
COMMST,225
COMMST,227
COMMST,323
COMMST,324
COMMST,325
COMMST,326
COMMST,433
COMMST,440
CROAT,101
CROAT,102
DUTCH,101
DUTCH,102
EMLS,*
ENGL,109
ENGL,119
ENGL,129R
ENGL,140R
ENGL,191
ENGL,192
ENGL,209
ENGL,210E
ENGL,210F
ENGL,210G
ENGL,210H
ENGL,210I
ENGL,210J
ENGL,304
ENGL,306A
ENGL,306B
ENGL,306G
ENGL,309E
ENGL,373
ENGL,375
ENGL,408B
ENGL,408C
ENVS,131
ERS,318
FINE,130
FINE,150
FR,101
FR,151
FR,152
FR,192A
FR,192B
FR,203
FR,250
FR,251
FR,252
FR,255
FR,303
FR,351
FR,353
FR,355
FR,400
FR,452
GENE,22D
GENE,315
GENE,415
GEOG,417
GER,101
GER,102
GER,201
GER,202
GER,211
GER,250
GER,261
GER,303
GER,304
GER,307
GER,308
GER,331
GER,350
GRK,101
GRK,102
GRK,105
GRK,201
GRK,202
GRK,331
GRK,332
GRK,351
GRK,451
HEALTH,100
HEALTH,105
INDEG,101
INDEG,102
INTEG,210
INTEG,410
ITAL,*
JAPAN,*
KOREA,*
LAT,101
LAT,102
LAT,201
LAT,351
LAT,422
LAT,451
MOHAWK,101
MOHAWK,102
MUSIC,111
MUSIC,222
MUSIC,226
MUSIC,227
MUSIC,233
MUSIC,270
MUSIC,271
MUSIC,275
MUSIC,322
MUSIC,370
MUSIC,371
MUSIC,376
PORT,101
PORT,102
RS,101
RS,102
RS,223
RS,224
RUSS,101
RUSS,102
SPAN,101
SPAN,102
SPAN,201A
SPAN,201B
SPAN,210
SPAN,290
SPAN,301A
SPAN,301B
SPAN,390
SPAN,395
SPAN,490
THPERF,100
THPERF,102
THPERF,149
THPERF,220
THPERF,221
THPERF,222
THPERF,284
THPERF,301
THPERF,321
THPERF,322
THPERF,326
THPERF,343
THPERF,361
THPERF,366
THPERF,368
THPERF,379
THPERF,380
THPERF,389
THPERF,440
not CHINA,391R
not ITAL,396
not JAPAN,391R
not KOREA,391R
